駆逐イ級	i-class_destroyer
萌化駆逐イ級	kuchiku_i-kyuu
駆逐ロ級	ro-class_destroyer
駆逐ハ級	ha-class_destroyer
駆逐ニ級	ni-class_destroyer
駆逐ナ級	na-class_destroyer
駆逐棲姫	destroyer_hime
防空棲姫	air_defense_hime
PT小鬼群	pt_imp_group
駆逐水鬼	destroyer_water_oni
駆逐古鬼	ancient_destroyer_oni
駆逐古姫	ancient_destroyer_hime
深海雨雲姫	ancient_nimbus_hime
軽巡ホ級	ho-class_light_cruiser
軽巡ヘ級	he-class_light_cruiser
軽巡ト級	to-class_light_cruiser
軽巡ツ級	tsu-class_light_cruiser
軽巡棲鬼	light_cruiser_oni
軽巡棲姫	light_cruiser_hime
雷巡チ級	chi-class_torpedo_cruiser
重巡リ級	ri-class_heavy_cruiser
重巡ネ級	ne-class_heavy_cruiser
重巡棲姫	heavy_cruiser_hime
重巡夏姫	heavy_cruiser_summer_hime
軽母ヌ級	nu-class_light_aircraft_carrier
護衛棲姫	escort_hime
水母棲姫	seaplane_tender_hime
水母水姫	seaplane_tender_water_hime
空母ヲ級	wo-class_aircraft_carrier
空母棲鬼	aircraft_carrier_oni
空母夏鬼	aircraft_carrier_summer_oni
空母棲姫	aircraft_carrier_hime
空母夏姬	aircraft_carrier_summer_hime
空母水鬼	aircraft_carrier_water_oni
深海海月姫	abyssal_jellyfish_hime
輸送ワ級	wa-class_transport_ship
潜水カ級	ka-class_submarine
潜水ソ級	so-class_submarine
潜水ヨ級	yo-class_submarine
潜水棲姫	submarine_hime
潜水新栖姬	submarine_new_hime
戦艦ル級	ru-class_battleship
戦艦タ級	ta-class_battleship
戦艦棲姫	battleship_hime
戦艦夏姫	battleship_summer_hime
戦艦水鬼	battleship_water_oni
战舰法栖姬	french_battleship_hime
戦艦レ級	re-class_battleship
装甲空母鬼	armored_aircraft_carrier_oni
装甲空母姫	armored_aircraft_carrier_hime
南方棲鬼	southern_ocean_oni
南方棲戦鬼	southern_ocean_war_oni
南方棲戦姫	southern_ocean_war_hime
泊地棲鬼	anchorage_oni
泊地棲姫	anchorage_hime
深海双子栖姬（黑）	abyssal_twin_hime_%28black%29
深海双子栖姬（白）	abyssal_twin_hime_%28white%29
北方水姫	northern_water_hime
欧州棲姫	european_hime
深海日棲姫	abyssal_sun_hime
飛行場姫	airfield_hime
港湾棲姫	seaport_hime
港湾夏姫	seaport_summer_hime
離島棲鬼	isolated_island_oni
北方棲姫	northern_ocean_hime
中間棲姫	midway_hime
港湾水鬼	seaport_water_oni
泊地水鬼	anchorage_water_oni
集積地棲姫	supply_depot_hime
集积地夏姬	supply_depot_summer_hime
離島棲姫	isolated_island_hime
砲台小鬼	artillery_imp
中枢棲姫	central_hime
リコリス棲姫	lycoris_hime
北端上陆姬	northernmost_landing_hime
北方栖妹	northern_little_sister
浮遊要塞	floating_fortress_%28kantai_collection%29
護衛要塞	escort_fortress_%28kantai_collection%29
深海攻击哨戒鹰	abyssal_patrolling_attack_hawk
深海舰载机	enemy_aircraft_%28kantai_collection%29
深海浮轮	enemy_lifebuoy_%28kantai_collection%29
深海忌雷	enemy_naval_mine_%28kantai_collection%29
