name,parent,rating,count,kanmusu_shinkai_flag,type
占守,全部,全部,342,舰娘,DE
占守,全部,rating:explicit,5,舰娘,DE
占守,全部,rating:questionable,16,舰娘,DE
占守,全部,rating:safe,321,舰娘,DE
占守,无子项,全部,278,舰娘,DE
占守,无子项,rating:explicit,3,舰娘,DE
占守,无子项,rating:questionable,11,舰娘,DE
占守,无子项,rating:safe,264,舰娘,DE
国後,全部,全部,249,舰娘,DE
国後,全部,rating:explicit,2,舰娘,DE
国後,全部,rating:questionable,17,舰娘,DE
国後,全部,rating:safe,230,舰娘,DE
国後,无子项,全部,211,舰娘,DE
国後,无子项,rating:explicit,2,舰娘,DE
国後,无子项,rating:questionable,15,舰娘,DE
国後,无子项,rating:safe,194,舰娘,DE
八丈,全部,全部,91,舰娘,DE
八丈,全部,rating:explicit,5,舰娘,DE
八丈,全部,rating:questionable,9,舰娘,DE
八丈,全部,rating:safe,77,舰娘,DE
八丈,无子项,全部,78,舰娘,DE
八丈,无子项,rating:explicit,3,舰娘,DE
八丈,无子项,rating:questionable,7,舰娘,DE
八丈,无子项,rating:safe,68,舰娘,DE
石垣,全部,全部,54,舰娘,DE
石垣,全部,rating:explicit,1,舰娘,DE
石垣,全部,rating:questionable,8,舰娘,DE
石垣,全部,rating:safe,45,舰娘,DE
石垣,无子项,全部,48,舰娘,DE
石垣,无子项,rating:explicit,1,舰娘,DE
石垣,无子项,rating:questionable,7,舰娘,DE
石垣,无子项,rating:safe,40,舰娘,DE
択捉,全部,全部,719,舰娘,DE
択捉,全部,rating:explicit,24,舰娘,DE
択捉,全部,rating:questionable,64,舰娘,DE
択捉,全部,rating:safe,631,舰娘,DE
択捉,无子项,全部,597,舰娘,DE
択捉,无子项,rating:explicit,15,舰娘,DE
択捉,无子项,rating:questionable,48,舰娘,DE
択捉,无子项,rating:safe,534,舰娘,DE
松輪,全部,全部,436,舰娘,DE
松輪,全部,rating:explicit,9,舰娘,DE
松輪,全部,rating:questionable,36,舰娘,DE
松輪,全部,rating:safe,391,舰娘,DE
松輪,无子项,全部,358,舰娘,DE
松輪,无子项,rating:explicit,7,舰娘,DE
松輪,无子项,rating:questionable,27,舰娘,DE
松輪,无子项,rating:safe,324,舰娘,DE
佐渡,全部,全部,337,舰娘,DE
佐渡,全部,rating:explicit,6,舰娘,DE
佐渡,全部,rating:questionable,28,舰娘,DE
佐渡,全部,rating:safe,303,舰娘,DE
佐渡,无子项,全部,281,舰娘,DE
佐渡,无子项,rating:explicit,5,舰娘,DE
佐渡,无子项,rating:questionable,28,舰娘,DE
佐渡,无子项,rating:safe,248,舰娘,DE
対馬,全部,全部,469,舰娘,DE
対馬,全部,rating:explicit,28,舰娘,DE
対馬,全部,rating:questionable,58,舰娘,DE
対馬,全部,rating:safe,383,舰娘,DE
対馬,无子项,全部,382,舰娘,DE
対馬,无子项,rating:explicit,22,舰娘,DE
対馬,无子项,rating:questionable,49,舰娘,DE
対馬,无子项,rating:safe,311,舰娘,DE
福江,全部,全部,134,舰娘,DE
福江,全部,rating:explicit,5,舰娘,DE
福江,全部,rating:questionable,9,舰娘,DE
福江,全部,rating:safe,120,舰娘,DE
福江,无子项,全部,117,舰娘,DE
福江,无子项,rating:explicit,4,舰娘,DE
福江,无子项,rating:questionable,9,舰娘,DE
福江,无子项,rating:safe,104,舰娘,DE
日振,全部,全部,212,舰娘,DE
日振,全部,rating:explicit,6,舰娘,DE
日振,全部,rating:questionable,7,舰娘,DE
日振,全部,rating:safe,199,舰娘,DE
日振,无子项,全部,177,舰娘,DE
日振,无子项,rating:explicit,4,舰娘,DE
日振,无子项,rating:questionable,3,舰娘,DE
日振,无子项,rating:safe,170,舰娘,DE
大東,全部,全部,209,舰娘,DE
大東,全部,rating:explicit,8,舰娘,DE
大東,全部,rating:questionable,16,舰娘,DE
大東,全部,rating:safe,185,舰娘,DE
大東,无子项,全部,178,舰娘,DE
大東,无子项,rating:explicit,5,舰娘,DE
大東,无子项,rating:questionable,13,舰娘,DE
大東,无子项,rating:safe,160,舰娘,DE
Samuel B. Roberts,全部,全部,404,舰娘,DD
Samuel B. Roberts,全部,rating:explicit,17,舰娘,DD
Samuel B. Roberts,全部,rating:questionable,23,舰娘,DD
Samuel B. Roberts,全部,rating:safe,364,舰娘,DD
Samuel B. Roberts,无子项,全部,343,舰娘,DD
Samuel B. Roberts,无子项,rating:explicit,10,舰娘,DD
Samuel B. Roberts,无子项,rating:questionable,20,舰娘,DD
Samuel B. Roberts,无子项,rating:safe,313,舰娘,DD
御蔵,全部,全部,72,舰娘,DE
御蔵,全部,rating:explicit,1,舰娘,DE
御蔵,全部,rating:questionable,3,舰娘,DE
御蔵,全部,rating:safe,68,舰娘,DE
御蔵,无子项,全部,63,舰娘,DE
御蔵,无子项,rating:explicit,1,舰娘,DE
御蔵,无子项,rating:questionable,2,舰娘,DE
御蔵,无子项,rating:safe,60,舰娘,DE
神風,全部,全部,1416,舰娘,DD
神風,全部,rating:explicit,35,舰娘,DD
神風,全部,rating:questionable,125,舰娘,DD
神風,全部,rating:safe,1256,舰娘,DD
神風,无子项,全部,1175,舰娘,DD
神風,无子项,rating:explicit,22,舰娘,DD
神風,无子项,rating:questionable,96,舰娘,DD
神風,无子项,rating:safe,1057,舰娘,DD
春風,全部,全部,567,舰娘,DD
春風,全部,rating:explicit,13,舰娘,DD
春風,全部,rating:questionable,39,舰娘,DD
春風,全部,rating:safe,515,舰娘,DD
春風,无子项,全部,457,舰娘,DD
春風,无子项,rating:explicit,8,舰娘,DD
春風,无子项,rating:questionable,32,舰娘,DD
春風,无子项,rating:safe,417,舰娘,DD
朝風,全部,全部,505,舰娘,DD
朝風,全部,rating:explicit,12,舰娘,DD
朝風,全部,rating:questionable,26,舰娘,DD
朝風,全部,rating:safe,467,舰娘,DD
朝風,无子项,全部,415,舰娘,DD
朝風,无子项,rating:explicit,7,舰娘,DD
朝風,无子项,rating:questionable,21,舰娘,DD
朝風,无子项,rating:safe,387,舰娘,DD
松風,全部,全部,337,舰娘,DD
松風,全部,rating:explicit,7,舰娘,DD
松風,全部,rating:questionable,11,舰娘,DD
松風,全部,rating:safe,319,舰娘,DD
松風,无子项,全部,275,舰娘,DD
松風,无子项,rating:explicit,7,舰娘,DD
松風,无子项,rating:questionable,9,舰娘,DD
松風,无子项,rating:safe,259,舰娘,DD
旗風,全部,全部,353,舰娘,DD
旗風,全部,rating:explicit,27,舰娘,DD
旗風,全部,rating:questionable,50,舰娘,DD
旗風,全部,rating:safe,276,舰娘,DD
旗風,无子项,全部,284,舰娘,DD
旗風,无子项,rating:explicit,13,舰娘,DD
旗風,无子项,rating:questionable,35,舰娘,DD
旗風,无子项,rating:safe,236,舰娘,DD
睦月,全部,全部,1786,舰娘,DD
睦月,全部,rating:explicit,33,舰娘,DD
睦月,全部,rating:questionable,65,舰娘,DD
睦月,全部,rating:safe,1688,舰娘,DD
睦月,无子项,全部,1543,舰娘,DD
睦月,无子项,rating:explicit,26,舰娘,DD
睦月,无子项,rating:questionable,50,舰娘,DD
睦月,无子项,rating:safe,1467,舰娘,DD
如月,全部,全部,1634,舰娘,DD
如月,全部,rating:explicit,49,舰娘,DD
如月,全部,rating:questionable,107,舰娘,DD
如月,全部,rating:safe,1478,舰娘,DD
如月,无子项,全部,1421,舰娘,DD
如月,无子项,rating:explicit,37,舰娘,DD
如月,无子项,rating:questionable,97,舰娘,DD
如月,无子项,rating:safe,1287,舰娘,DD
弥生,全部,全部,1297,舰娘,DD
弥生,全部,rating:explicit,18,舰娘,DD
弥生,全部,rating:questionable,90,舰娘,DD
弥生,全部,rating:safe,1189,舰娘,DD
弥生,无子项,全部,1137,舰娘,DD
弥生,无子项,rating:explicit,15,舰娘,DD
弥生,无子项,rating:questionable,74,舰娘,DD
弥生,无子项,rating:safe,1048,舰娘,DD
卯月,全部,全部,1944,舰娘,DD
卯月,全部,rating:explicit,26,舰娘,DD
卯月,全部,rating:questionable,117,舰娘,DD
卯月,全部,rating:safe,1801,舰娘,DD
卯月,无子项,全部,1714,舰娘,DD
卯月,无子项,rating:explicit,21,舰娘,DD
卯月,无子项,rating:questionable,93,舰娘,DD
卯月,无子项,rating:safe,1600,舰娘,DD
皐月,全部,全部,1974,舰娘,DD
皐月,全部,rating:explicit,26,舰娘,DD
